Heading row not found.,E/W,N/S,Block
,571519.1781,5636265.926,60 X
,571517.8062,5636266.334,60 X
,571516.4343,5636266.743,60 X
,571515.0624,5636267.151,60 X
,571513.6905,5636267.56,60 X
,571512.3187,5636267.968,60 X
,571510.9468,5636268.376,60 X
,571508.203,5636269.193,60 X
,571506.8312,5636269.601,60 X
,571501.3436,5636271.235,60 X
,571498.5999,5636272.051,60 X
,571497.228,5636272.46,60 X
,571494.4842,5636273.277,60 X
,571484.8811,5636276.135,60 X
,571480.7655,5636277.36,60 X
,571479.3936,5636277.768,60 X
,571476.6498,5636278.585,60 X
,571475.2779,5636278.994,60 X
,571473.9061,5636279.402,60 X
,571467.0467,5636281.444,60 X
,571465.6748,5636281.852,60 X
,572036.5234,5637264.458,60 X
,572039.1522,5637268.019,60 X
,571982.8737,5637730.236,60 X
